ts_code,symbol,exchange,name,fut_code,multiplier,trade_unit,per_unit,quote_unit,quote_unit_desc,d_mode_desc,list_date,delist_date,d_month,last_ddate
TF1603.CFX,TF1603,CFFEX,TF1603,TF,10000,张,1,人民币元,0.005人民币元,实物交割,20150615,20160311,201603,20160316
IC2511.CFX,IC2511,CFFEX,IC2511,IC,200,张,1,指数点,0.2指数点,现金交割,20250922,20251121,202511,20251121
IF2511.CFX,IF2511,CFFEX,IF2511,IF,300,张,1,指数点,0.2指数点,现金交割,20250922,20251121,202511,20251121
IH2511.CFX,IH2511,CFFEX,IH2511,IH,300,张,1,指数点,0.2指数点,现金交割,20250922,20251121,202511,20251121
IM2511.CFX,IM2511,CFFEX,IM2511,IM,200,张,1,指数点,0.2指数点,现金交割,20250922,20251121,202511,20251121
IF2508.CFX,IF2508,CFFEX,IF2508,IF,300,张,1,指数点,0.2指数点,现金交割,20250623,20250815,202508,20250815
IF1906.CFX,IF1906,CFFEX,IF1906,IF,300,张,1,指数点,0.2指数点,现金交割,20181022,20190621,201906,20190621
IC1906.CFX,IC1906,CFFEX,IC1906,IC,200,张,1,指数点,0.2指数点,现金交割,20181022,20190621,201906,20190621
IH1906.CFX,IH1906,CFFEX,IH1906,IH,300,张,1,指数点,0.2指数点,现金交割,20181022,20190621,201906,20190621
IF1010.CFX,IF1010,CFFEX,IF1010,IF,300,张,1,指数点,0.2指数点,现金交割,20100823,20101015,201010,20101015
TF1406.CFX,TF1406,CFFEX,TF1406,TF,10000,张,1,人民币元,0.005人民币元,实物交割,20130906,20140613,201406,20140618
IF1701.CFX,IF1701,CFFEX,IF1701,IF,300,张,1,指数点,0.2指数点,现金交割,20161121,20170120,201701,20170120
IF1401.CFX,IF1401,CFFEX,IF1401,IF,300,张,1,指数点,0.2指数点,现金交割,20131118,20140117,201401,20140117
TL2503.CFX,TL2503,CFFEX,TL2503,TL,10000,张,1,人民币元,0.01人民币元,实物交割,20240617,20250314,202503,20250319
IF2410.CFX,IF2410,CFFEX,IF2410,IF,300,张,1,指数点,0.2指数点,现金交割,20240819,20241018,202410,20241018
IF1503.CFX,IF1503,CFFEX,IF1503,IF,300,张,1,指数点,0.2指数点,现金交割,20140721,20150320,201503,20150320
IH1506.CFX,IH1506,CFFEX,IH1506,IH,300,张,1,指数点,0.2指数点,现金交割,20150416,20150619,201506,20150619
IH2512.CFX,IH2512,CFFEX,IH2512,IH,300,张,1,指数点,0.2指数点,现金交割,20250421,20251219,202512,20251219
IF1012.CFX,IF1012,CFFEX,IF1012,IF,300,张,1,指数点,0.2指数点,现金交割,20100416,20101217,201012,20101217
IH1510.CFX,IH1510,CFFEX,IH1510,IH,300,张,1,指数点,0.2指数点,现金交割,20150824,20151016,201510,20151016
IC2004.CFX,IC2004,CFFEX,IC2004,IC,200,张,1,指数点,0.2指数点,现金交割,20200224,20200417,202004,20200417
IF2004.CFX,IF2004,CFFEX,IF2004,IF,300,张,1,指数点,0.2指数点,现金交割,20200224,20200417,202004,20200417
IH2004.CFX,IH2004,CFFEX,IH2004,IH,300,张,1,指数点,0.2指数点,现金交割,20200224,20200417,202004,20200417
IF1102.CFX,IF1102,CFFEX,IF1102,IF,300,张,1,指数点,0.2指数点,现金交割,20101220,20110218,201102,20110218
IH2405.CFX,IH2405,CFFEX,IH2405,IH,300,张,1,指数点,0.2指数点,现金交割,20240318,20240517,202405,20240517
IH2605.CFX,IH2605,CFFEX,IH2605,IH,300,张,1,指数点,0.2指数点,现金交割,20260323,20260515,202605,20260515
IF2504.CFX,IF2504,CFFEX,IF2504,IF,300,张,1,指数点,0.2指数点,现金交割,20250224,20250418,202504,20250418
IH2212.CFX,IH2212,CFFEX,IH2212,IH,300,张,1,指数点,0.2指数点,现金交割,20220418,20221216,202212,20221216
IC1608.CFX,IC1608,CFFEX,IC1608,IC,200,张,1,指数点,0.2指数点,现金交割,20160620,20160819,201608,20160819
IC1808.CFX,IC1808,CFFEX,IC1808,IC,200,张,1,指数点,0.2指数点,现金交割,20180619,20180817,201808,20180817
IH1808.CFX,IH1808,CFFEX,IH1808,IH,300,张,1,指数点,0.2指数点,现金交割,20180619,20180817,201808,20180817
IF1808.CFX,IF1808,CFFEX,IF1808,IF,300,张,1,指数点,0.2指数点,现金交割,20180619,20180817,201808,20180817
IF2204.CFX,IF2204,CFFEX,IF2204,IF,300,张,1,指数点,0.2指数点,现金交割,20220221,20220415,202204,20220415
IM2301.CFX,IM2301,CFFEX,IM2301,IM,200,张,1,指数点,0.2指数点,现金交割,20221121,20230120,202301,20230120
T2612.CFX,T2612,CFFEX,T2612,T,10000,张,1,人民币元,0.005人民币元,实物交割,20260316,20261211,202612,20261216
IH2302.CFX,IH2302,CFFEX,IH2302,IH,300,张,1,指数点,0.2指数点,现金交割,20221219,20230217,202302,20230217
